title,year,href,details,blurb,citations
Does size matter? The influence of large clients on office-level auditor reporting decisions,2000,https://www.sciencedirect.com/science/article/pii/S0165410101000106,"JK Reynolds, JR Francis - Journal of accounting and economics, 2000 - Elsevier",Large clients create an economic dependence that may cause auditors to compromise their independence and report favorably to retain valuable clients. Economic dependence is measured as a client's size relative to the size of the office that contracts for the audit and …,1608
Data collection and sampling in qualitative research: does size matter?,2014,https://researchdirect.westernsydney.edu.au/islandora/object/uws:20101/,"M Cleary, J Horsfall, M Hayter - Journal of …, 2014 - researchdirect.westernsydney.edu …",In this editorial we discuss issues relating to gaining quality data from individual and focus group interviewees. The primary strength of qualitative research is its potential to explore a topic in depth (Carlsen & Glenton 2011). Qualitative research is epistemologically grounded …,996
Does size matter? The state of the art in small business ethics,1999,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8608.00144,"LJ Spence - Business ethics: a European review, 1999 - Wiley Online Library","In this paper the exclusive focus on large firms in the field of business ethics is challenged. Some of the idiosyncrasies of small firms are explained, and links are made between these and potential ethical issues. A review of the existing literature on ethics in small firms …",756
Does size matter? The relationship between pond area and biodiversity,2002,https://www.sciencedirect.com/science/article/pii/S0006320701001549,"B Oertli, DA Joye, E Castella, R Juge, D Cambin… - Biological …, 2002 - Elsevier","Larger areas support more species. To test the application of this biogeographic principle to ponds, we consider the relationship between size and diversity for 80 ponds in Switzerland, using richness (number of species) and conservation value (score for all species present …",742
Pathogen recognition and development of particulate vaccines: does size matter?,2006,https://www.sciencedirect.com/science/article/pii/S1046202306001563,"SD Xiang, A Scholzen, G Minigo, C David… - Methods, 2006 - Elsevier",The use of particulate carriers holds great promise for the development of effective and affordable recombinant vaccines. Rational development requires a detailed understanding of particle up-take and processing mechanisms to target cellular pathways capable of …,607
Does size matter? The impact of model's body size on women's body-focused anxiety and advertising effectiveness,2004,https://guilfordjournals.com/doi/abs/10.1521/jscp.23.1.104.26989,"E Halliwell, H Dittmar - Journal of Social and Clinical Psychology, 2004 - Guilford Press","An increasing number of studies shows that exposure to thin ideal bodies in the media has negative effects on young women's body images, at least in the short-term. However, this research has (a) consistently confounded the effects of thinness and attractiveness, and (b) …",459
Does size matter in firm performance? Evidence from US public firms,2009,https://www.tandfonline.com/doi/abs/10.1080/13571510902917400,"J Lee - international Journal of the economics of Business, 2009 - Taylor & Francis","This paper reexamines the determinants of firm performance and, in particular, the role that firm size plays in profitability. A fixed‐effects dynamic panel data model for over 7,000 US publicly‐held firms during the period 1987–2006 provides evidence that profit rates are …",428
Ultrafine particle–lung interactions: does size matter?,2006,https://www.liebertpub.com/doi/abs/10.1089/jam.2006.19.74,"WG Kreyling, M Semmler-Behnke… - Journal of Aerosol …, 2006 - liebertpub.com",Epidemiological studies continue to indicate associations between exposure to increased concentrations of ambient fine and ultrafine particles and adverse health effects in susceptible individuals. The ultrafine particle fraction in the ambient atmosphere seems to …,401
Does size matter? Men's and women's views on penis size across the lifespan.,2006,https://psycnet.apa.org/doiLanding?doi=10.1037%2F1524-9220.7.3.129,"J Lever, DA Frederick, LA Peplau - Psychology of Men & …, 2006 - psycnet.apa.org","The media equate a man's penis size with his power and masculinity. Views about penis size were assessed in an Internet survey of 52,031 heterosexual men and women. Most men (66%) rated their penis as average, 22% as large, and 12% as small. Self-reported …",344
Diameter of abdominal aortic aneurysm and outcome of endovascular aneurysm repair: does size matter? A report from EUROSTAR,2004,https://www.sciencedirect.com/science/article/pii/S0741521403015714,"N Peppelenbosch, J Buth, PL Harris… - Journal of vascular …, 2004 - Elsevier",Objectives This study was undertaken to determine the effect of the preoperative diameter of abdominal aortic aneurysms on the midterm outcome after endovascular abdominal aneurysm repair (EVAR). Method The data for 4392 patients who had undergone EVAR …,340
Does size matter for dispersal distance?,2007,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2007.00312.x,"DG Jenkins, CR Brescacin, CV Duxbury… - Global Ecology and …, 2007 - Wiley Online Library","Aim The aim of this study is to answer the questions:(1) do small organisms disperse farther than large, or vice versa; and (2) does the observed pattern differ for passive and active dispersers? These questions are central to several themes in biogeography (including …",304
Does size matter? Clinical applications of scaling cardiac size and function for body size,2008,https://www.ahajournals.org/doi/abs/10.1161/circulationaha.107.736785,"FE Dewey, D Rosenthal, DJ Murphy Jr, VF Froelicher… - Circulation, 2008 - Am Heart Assoc","Extensive evidence is available that cardiovascular structure and function, along with other biological properties that span the range of organism size and speciation, scale with body size. Although appreciation of such factors is commonplace in pediatrics, cardiovascular …",298
Does size matter?: on the importance of various dead wood fractions for fungal diversity in Danish beech forests,2004,https://www.sciencedirect.com/science/article/pii/S0378112704005195,"J Heilmann-Clausen, M Christensen - Forest ecology and management, 2004 - Elsevier","The importance of different fractions of coarse wood debris (cwd) for species diversity of wood-inhabiting fungi was investigated in near-natural Danish beech stands. Species number per tree increased significantly with increasing tree size, pointing out large trees to …",292
Does size matter? Placental debris and the pathophysiology of pre-eclampsia,2012,https://www.sciencedirect.com/science/article/pii/S0143400411005868,"CWG Redman, DS Tannetta, RA Dragovic, C Gardiner… - Placenta, 2012 - Elsevier",A variety of 'debris' is shed from the syncytial surface of the human placenta ranging from large deported multinuclear fragments to sub-cellular components. It is increasingly clear that at least some of this material has signalling functions. Many categories of circulating …,277
Telomeres and cardiovascular disease: does size matter?,2004,https://www.ahajournals.org/doi/abs/10.1161/01.res.0000122141.18795.9c,"AL Serrano, V Andrés - Circulation research, 2004 - Am Heart Assoc",Telomeres—the specialized DNA-protein structures at the ends of eukaryotic chromosomes—are essential for maintaining genome stability and integrity and for extended proliferative life span in both cultured cells and in the whole organism. Telomerase and additional telomere …,253
