title,year,href,citations
Does size matter? The influence of large clients on office-level auditor reporting decisions,2000,https://www.sciencedirect.com/science/article/pii/S0165410101000106,1608
Data collection and sampling in qualitative research: does size matter?,2014,https://researchdirect.westernsydney.edu.au/islandora/object/uws:20101/,996
Does size matter? The state of the art in small business ethics,1999,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8608.00144,756
Does size matter? The relationship between pond area and biodiversity,2002,https://www.sciencedirect.com/science/article/pii/S0006320701001549,742
Pathogen recognition and development of particulate vaccines: does size matter?,2006,https://www.sciencedirect.com/science/article/pii/S1046202306001563,607
Does size matter? The impact of model's body size on women's body-focused anxiety and advertising effectiveness,2004,https://guilfordjournals.com/doi/abs/10.1521/jscp.23.1.104.26989,459
Does size matter in firm performance? Evidence from US public firms,2009,https://www.tandfonline.com/doi/abs/10.1080/13571510902917400,428
Ultrafine particle–lung interactions: does size matter?,2006,https://www.liebertpub.com/doi/abs/10.1089/jam.2006.19.74,401
Does size matter? Men's and women's views on penis size across the lifespan.,2006,https://psycnet.apa.org/doiLanding?doi=10.1037%2F1524-9220.7.3.129,344
Diameter of abdominal aortic aneurysm and outcome of endovascular aneurysm repair: does size matter? A report from EUROSTAR,2004,https://www.sciencedirect.com/science/article/pii/S0741521403015714,340
Does size matter for dispersal distance?,2007,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2007.00312.x,304
Does size matter? Clinical applications of scaling cardiac size and function for body size,2008,https://www.ahajournals.org/doi/abs/10.1161/circulationaha.107.736785,298
Does size matter?: on the importance of various dead wood fractions for fungal diversity in Danish beech forests,2004,https://www.sciencedirect.com/science/article/pii/S0378112704005195,292
Does size matter? Placental debris and the pathophysiology of pre-eclampsia,2012,https://www.sciencedirect.com/science/article/pii/S0143400411005868,277
Telomeres and cardiovascular disease: does size matter?,2004,https://www.ahajournals.org/doi/abs/10.1161/01.res.0000122141.18795.9c,253
Does size matter? Critical mass and New Zealand's Women MP,2002,https://openresearch-repository.anu.edu.au/handle/1885/92276,247
"Does size matter in females? An overview of the impact of the high variation in the ovarian reserve on ovarian function and fertility, utility of anti-Müllerian hormone as …",2010,https://www.publish.csiro.au/RD/RD10226,235
Does size matter for hypoxia tolerance in fish?,2008,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.2008.00038.x,233
Does Size Matter? Scaling of CO2 Emissions and US Urban Areas,2013,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0064727,224
Does size matter? Positive predictive value of MRI-detected breast lesions as a function of lesion size,2006,https://www.ajronline.org/doi/abs/10.2214/AJR.04.1707,204
Using aggregate geographic data to proxy individual socioeconomic status: does size matter?,2001,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1446644/,194
Does size matter? Organizational slack and visibility as alternative explanations for environmental responsiveness,2002,https://journals.sagepub.com/doi/pdf/10.1177/0007650302041001007,187
Does size matter? A study of firm behavior and outcomes in strategic SME networks,2005,https://www.emerald.com/insight/content/doi/10.1108/14626000510612330/full/html?fullSc=1,184
Does size matter for Six Sigma implementation? Findings from the survey in UK SMEs,2009,https://www.emerald.com/insight/content/doi/10.1108/17542730910995882/full/html,180
Does size really matter?,1997,https://www.tandfonline.com/doi/abs/10.2469/faj.v53.n5.2112,180
"Does size matter? Authorship attribution, small samples, big problem",2015,https://academic.oup.com/dsh/article-abstract/30/2/167/390738,179
Archaeological Soybean (Glycine max) in East Asia: Does Size Matter?,2011,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026720,173
Salience of loss of control for pediatric binge episodes: does size really matter?,2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/eat.20767,173
Does size matter? The impact of changes in household structure on income distribution in Germany,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4991.2011.00448.x,165
Does size matter? An examination of small and large web-based brand communities,2010,https://www.sciencedirect.com/science/article/pii/S1094996809000899,165
"Does size matter? Body size, mass collecting, and their implications for understanding prehistoric foraging behavior",2005,https://www.cambridge.org/core/journals/american-antiquity/article/does-size-matter-body-size-mass-collecting-and-their-implications-for-understanding-prehistoric-foraging-behavior/F02FB75239497BFD2E252298F30C7B08,157
Measuring diversity of endophytic fungi in leaf fragments: does size matter?,2003,https://link.springer.com/article/10.1023/A:1021362217723,148
Alloy formation of supported gold nanoparticles at their transition from clusters to solids: Does size matter?,2005,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.94.016804,148
Sex‐specific foraging behaviour in tropical boobies: does size matter?,2005,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919x.2005.00428.x,143
"Does size matter? investigating the impact of mobile phone screen size on users' perceived usability, effectiveness and efficiency.",2013,https://dl.acm.org/doi/abs/10.1145/2493190.2493204,137
Does size matter? A prospective analysis of 28–32 versus 36–40 French chest tube size in trauma,2012,https://journals.lww.com/jtrauma/FullText/2012/02000/Does_size_matter__A_prospective_analysis_of_28_32.16.aspx,133
Does size matter? Corporate social responsibility and firm performance in the restaurant industry,2015,https://www.sciencedirect.com/science/article/pii/S0278431915001474,132
General obstetrics: Does size matter? A population‐based study of birth in lower volume maternity hospitals for low risk women,2006,https://obgyn.onlinelibrary.wiley.com/doi/abs/10.1111/j.1471-0528.2005.00794.x,132
On the likelihood of plate tectonics on super-Earths: does size matter?,2010,https://iopscience.iop.org/article/10.1088/2041-8205/725/1/L43/meta,131
Does size matter? Finding the profitability and marketability benchmark of financial holding companies,2006,https://www.worldscientific.com/doi/abs/10.1142/S0217595906000930,130
Does size really matter? New insights into the intercalation behavior of anions into a graphite-based positive electrode for dual-ion batteries,2016,https://www.sciencedirect.com/science/article/pii/S0013468616310453,130
Laparoscopic splenectomy in patients with normal-sized spleens versus splenomegaly: Does size matter?/Discussion,2001,https://search.proquest.com/openview/dbde2a9469ba3a8f2d9960cb3a122d02/1?pq-origsite=gscholar&cbl=49079,118
Does size matter? Utility of size of tuberculin reactions for the diagnosis of mycobacterial disease,2000,https://www.atsjournals.org/doi/abs/10.1164/ajrccm.162.4.9912048,116
Financial and legal constraints to firm growth: Does size matter?,2002,https://books.google.com/books?hl=en&lr=&id=DN5YxWQFb5gC&oi=fnd&dq=+%22does+size+matter%22&ots=xQotHBYzMV&sig=-Vucm337rEDjusGUg6YbfgVcn-A,116
Does size matter?,1998,https://pubs.asahq.org/anesthesiology/article/89/3/557/37030,114
Does size matter? Elasticity of compressed suspensions of colloidal-and granular-scale microgels,2012,https://pubs.rsc.org/en/content/articlehtml/2012/sm/c1sm06355c,112
Wildfire selectivity for land cover type: does size matter?,2014,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0084760,109
Does size matter most? The effect of growth history on probabilistic reaction norm for salmon maturation,2006,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0014-3820.2006.tb01230.x,109
"Feeding by Antarctic Krill, Euphausia superba: Does Size Matter?",1985,https://link.springer.com/chapter/10.1007/978-3-642-82275-9_52,102
Does Size Really Matter? On the Relationship between Immigrant Group                     Size and Anti-Immigrant Prejudice,2017,https://journals.sagepub.com/doi/abs/10.1111/imre.12191,101
Contest behavior in territorial male butterflies: does size matter?,2000,https://academic.oup.com/beheco/article-abstract/11/6/591/221405,99
Does size matter? Bumblebee behaviour and the pollination of Cytisus scoparius L.(Fabaceae),2000,https://www.apidologie.org/articles/apido/abs/2000/01/M0111/M0111.html,99
Myxomatous mitral valve disease in dogs: does size matter?,2012,https://www.sciencedirect.com/science/article/pii/S176027341200015X,94
Does size matter-an economic analysis of small business exemptions from regulation,2004,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jsebl8&section=6,93
Tree-ring growth and intra-annual density fluctuations of Pinus pinaster responses to climate: does size matter?,2013,https://link.springer.com/content/pdf/10.1007/s00468-012-0831-3.pdf,93
Does size really matter? Weight and values in public health,2001,https://muse.jhu.edu/article/26043/summary,92
The impact of international financial reporting standards: does size matter?,2006,https://www.emerald.com/insight/content/doi/10.1108/02686900610667247/full/html,91
Does size matter? Small firms' use of e‐business tools in the supply chain,2005,https://www.tandfonline.com/doi/abs/10.1080/10196780500083746,91
Pharyngolaryngeal morbidity with the laryngeal mask airway in spontaneously breathing patients: does size matter?,2001,https://pubs.asahq.org/anesthesiology/article-abstract/94/5/760/41745,91
Does size matter in platelet production?,2012,https://ashpublications.org/blood/article-abstract/120/8/1552/30821,90
Contralateral papillary thyroid cancer: does size matter?,2009,https://www.sciencedirect.com/science/article/pii/S0002961008007794,90
Laparoscopic adrenalectomy for adrenal masses: does size matter?,2008,https://www.sciencedirect.com/science/article/pii/S0090429507025885,90
Nerve injury by needle nerve perforation in regional anaesthesia: does size matter?,2010,https://academic.oup.com/bja/article-abstract/104/2/245/227462,88
Forecasting bankruptcy for SMEs using hazard function: To what extent does size matter?,2015,https://link.springer.com/article/10.1007/s11156-014-0458-0,87
"Does size really matter? Effects of fish surface area on the settlement and initial survival of Lepeophtheirus salmonis, an ectoparasite of Atlantic salmon Salmo salar",2002,https://www.int-res.com/abstracts/dao/v49/n2/p145-152/,87
Does size matter? The moderating effects of firm size on the employment of nonfamily managers in privately held family SMEs,2016,https://journals.sagepub.com/doi/abs/10.1111/etap.12156,85
Toxic effects and ultrastructural damages to Daphnia magna of two differently sized ZnO nanoparticles: does size matter?,2014,https://www.sciencedirect.com/science/article/pii/S0043135414000748,85
Indonesia's rising regional and global profile: does size really matter?,2011,https://www.jstor.org/stable/41288825,85
Small samples: does size matter?,2001,https://arvojournals.org/article.aspx?articleID=2199953,84
Does size matter? Reassessing the relationship between aquaculture and poverty in Bangladesh,2012,https://www.tandfonline.com/doi/abs/10.1080/00220388.2011.638049,84
Does size matter? Evaluating corporate environmental disclosure in the Australian mining and metal industry: A combined approach of quantity and quality …,2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.1910,84
"Does size matter in R&D productivity? If not, what does?",2013,https://www.nature.com/articles/nrd4164,82
How does size matter for science? Exploring the effects of research unit size on academics' scientific productivity and information exchange behaviors,2011,https://academic.oup.com/spp/article-abstract/38/6/449/1659824,79
Chest drains: does size matter?,2000,https://www.sciencedirect.com/science/article/pii/S000992600090446X,78
Does size matter in the hedge fund industry?,1331,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1331754,77
Company support for employee volunteerism: Does size matter?,2011,https://www.sciencedirect.com/science/article/pii/S014829630900263X,74
Does size matter? Entrepreneurial orientation and performance in Spanish sports firms,2016,https://www.sciencedirect.com/science/article/pii/S0148296316303381,73
Management for sustainable development and its impact on firm value in the SME context: Does size matter?,2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.1961,72
(Small) business activity and state economic growth: does size matter?,2009,https://www.tandfonline.com/doi/abs/10.1080/00343400701808915,71
A packed-bed DBD micro plasma reactor for CO2 dissociation: does size matter?,2018,https://www.sciencedirect.com/science/article/pii/S1385894718307836,71
Can biliary-cyst communication be predicted before surgery for hepatic hydatid disease: does size matter?,2008,https://www.sciencedirect.com/science/article/pii/S000296100800233X,70
Does size really matter? Landfill scale impacts on property values,2007,https://www.tandfonline.com/doi/abs/10.1080/13504850600592531,70
Does size matter in pancreatic cancer?,2017,https://www.ingentaconnect.com/content/wk/sla/2017/00000266/00000001/art00038,68
"Does size matter? Comparison study between MRI, gross, and microscopic tumor sizes in breast cancer in lumpectomy specimens",2010,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2836507/,68
Outcomes after breast reduction: does size really matter?,2008,https://journals.lww.com/annalsplasticsurgery/Fulltext/2008/05000/Quality_of_Life_After_Breast_Reduction.8.aspx,68
Farm typology and sustainable agriculture: does size matter?,2004,https://www.tandfonline.com/doi/abs/10.1300/J064v24n02_05,66
Matching donor to recipient in lung transplantation: how much does size matter?,2009,https://www.sciencedirect.com/science/article/pii/S0022522308017509,66
Olefin hydrogenation by ruthenium nanoparticles in ionic liquid media: Does size matter?,2010,https://www.sciencedirect.com/science/article/pii/S0021951710002484,66
Does size matter? Tumor size and morphology as predictors of nodal status and recurrence in endometrial cancer,2005,https://www.sciencedirect.com/science/article/pii/S0090825805004348,65
Does size matter? Exploring the small sample properties of maximum likelihood estimation,1999,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.200.205&rep=rep1&type=pdf,63
The impact of BMI on quality of life in obese endometrial cancer survivors: does size matter?,2014,https://www.sciencedirect.com/science/article/pii/S0090825813013401,63
Does Size Really Matter? The Steric Isotope Effect in a Supramolecular Host–Guest Exchange Reaction,2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.200906569,63
Municipality size and efficiency of local public services: Does size matter?,2011,https://www.econstor.eu/handle/10419/55284,62
Bank lending decisions and small firms: does size matter?,1996,https://www.emerald.com/insight/content/doi/10.1108/13552559610119331/full/html,61
Does size matter? Atmospheric CO2 may be a stronger driver of stomatal closing rate than stomatal size in taxa that diversified under low CO2,2016,https://www.frontiersin.org/articles/10.3389/fpls.2016.01253/full,61
Does size matter? bailouts with large and small banks,2020,https://www.sciencedirect.com/science/article/pii/S0304405X19302247,60
Does size matter? An experimental evaluation of the relative abundance and decay rates of aquatic environmental DNA,2018,https://pubs.acs.org/doi/abs/10.1021/acs.est.8b01071,60
Mosquito consumption by insectivorous bats: does size matter?,2013,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0077183,57
"Does Size Matter? Authorship Attribution, Small Samples, Big Problem.",2010,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.477.7125&rep=rep1&type=pdf,57
Pure laparoscopic liver resection for large malignant tumors: does size matter?,2015,https://link.springer.com/article/10.1245/s10434-014-4107-6,56
Growth and equity in microstates: Does size matter in development?,2002,https://www.emerald.com/insight/content/doi/10.1108/03068290210413047/full/html,56
Does size matter in Australia?,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4932.2009.00566.x,55
Does size matter? The impact of student–staff ratios,2013,https://www.tandfonline.com/doi/abs/10.1080/1360080X.2013.844668,54
Arabidopsis thaliana as a model species for xylem hydraulics: does size matter?,2013,https://academic.oup.com/jxb/article-abstract/64/8/2295/644969,54
Strategies for growth in the media and communications industry: Does size really matter?,2003,https://www.tandfonline.com/doi/abs/10.1080/14241270309390041,54
